070b2e7c477,GitHub,Rene Groeschke,Port LicenseHeadersTask to java and remove ant layer (#65310),Tue Nov 24 10:19:26 2020 +0100
d3ddaaf358a,GitHub,Armin Braun,Remove Redundant TransportFuture Class  (#65370),Tue Nov 24 10:16:12 2020 +0100
778e7d8b651,GitHub,Armin Braun,Remove Unused IndexShardOperationPermits#blockOperations (#65376),Tue Nov 24 09:48:49 2020 +0100
962a8aca8db,GitHub,Luca Cavanna,RootObjectMapper to clone the runtime fields map (#65378),Tue Nov 24 09:28:20 2020 +0100
6d22901eecc,GitHub,Jim Ferenczi, Do not skip not available shard exception in search response (#64337),Tue Nov 24 08:48:58 2020 +0100
5b143b40bf0,Mark Vieira,Mark Vieira,Mute WatcherUtilsTests.testDeserializeSearchRequest,Mon Nov 23 14:44:27 2020 -0800
06da3d7bbc9,GitHub,Tal Levy,Adds a new Rollup Action (#64900),Mon Nov 23 13:04:32 2020 -0800
afb9d48a215,GitHub,Andras Palinkas,SQL: Remove the unused CONCAT token (#65272),Mon Nov 23 15:47:51 2020 -0500
5df609d31ba,GitHub,Henning Andersen,Configure Autoscaling deciders using settings (#64428),Mon Nov 23 21:17:18 2020 +0100
70864a96b7e,GitHub,Jim Ferenczi,Fix cacheability of custom LongValuesSource in TermsSetQueryBuilder (#65367),Mon Nov 23 21:15:23 2020 +0100
b514d9bf2ea,GitHub,Tal Levy,Add geo_line aggregation (#41612),Mon Nov 23 10:26:27 2020 -0800
53b10dbb66d,Mark Vieira,Mark Vieira,Mute "Tests catching other exceptions per item",Mon Nov 23 10:16:01 2020 -0800
8753149c3b6,GitHub,Henning Andersen,Enhance byte-size setting validation (#65363),Mon Nov 23 18:55:04 2020 +0100
761f3a80506,GitHub,Mark Vieira,Fix test failures when checkout path includes a space on Windows (#65276),Mon Nov 23 09:14:10 2020 -0800
ba062c50c2e,GitHub,Jay Modi,Watcher understands hidden expand wildcard value (#65332),Mon Nov 23 08:31:35 2020 -0700
ae3880ed518,GitHub,Christoph Büscher,Better handling of item errors in _mtermvectors API (#65324),Mon Nov 23 16:01:09 2020 +0100
7b8637e3a68,GitHub,Armin Braun,Make Primary Relocation Not Blocking on Transport Request (#64098),Mon Nov 23 15:28:19 2020 +0100
41e9ae51b0b,GitHub,David Turner,Add snapshots to important config list (#65338),Mon Nov 23 14:26:07 2020 +0000
8695a79ce26,GitHub,Dimitris Athanasiou,[ML] Refactor process starting into its own method in AutodetectProcessManager (#65360),Mon Nov 23 15:37:45 2020 +0200
91df1b8edf1,GitHub,Przemyslaw Gomulka,Introduce Compatible Version plugin (#64481),Mon Nov 23 14:19:23 2020 +0100
7b4fcb6b115,GitHub,Costin Leau,QL: Introduce common analyzer base class (#65325),Mon Nov 23 14:19:05 2020 +0200
a85fb5534a7,GitHub,István Zoltán Szabó,[DOCS] Fixes typo in Aggregating data for faster performance. (#65354),Mon Nov 23 12:44:59 2020 +0100
8d28c359477,GitHub,Tanguy Leroux,Allow searchable snapshot cache service to periodically fsync cache files (#64696),Mon Nov 23 12:02:22 2020 +0100
acfb463892f,GitHub,Andrei Stefan,Extend the interval date comparison (#65348),Mon Nov 23 12:46:10 2020 +0200
16c795e049a,GitHub,Armin Braun,Fix SearchableSnapshotsIntegTests.testCreateAndRestoreSearchableSnapshot (#65343),Mon Nov 23 10:35:09 2020 +0100
606e8b17ed4,GitHub,Armin Braun,Fix Broken Error Handling in CacheFile#acquire (#65342),Mon Nov 23 08:10:21 2020 +0100
509f1d117dc,GitHub,Julie Tibshirani,Remove unnecessary method AbstractFieldScript#getSource. (#65294),Sun Nov 22 19:51:45 2020 -0800
0986ae9b276,GitHub,Armin Braun,Mute JdbcCsvSpecIT#testCurrentDateFilter (#65339),Sun Nov 22 22:34:05 2020 +0100
f4a462d05e7,GitHub,Julie Tibshirani,Simplify how source is passed to fetch subphases. (#65292),Fri Nov 20 14:09:41 2020 -0800
10ee0f2878f,GitHub,Wylie Conlon,Clarify field data cache behavior in docs (#64375),Fri Nov 20 13:53:23 2020 -0800
04536fcf91f,GitHub,Jack Conradson,Fix casting bug in compound assignment for String (#65329),Fri Nov 20 12:04:28 2020 -0800
4acbff932c2,GitHub,Ryan Ernst,Remove unused EQL helpers (#65165),Fri Nov 20 10:59:05 2020 -0800
f1e54a63a1a,GitHub,István Zoltán Szabó,[DOCS] Adds UI related limitation to configuring aggs docs (#65184),Fri Nov 20 19:03:18 2020 +0100
cfe6e68fde5,GitHub,Ryan Ernst,Add codebases hints for testing (#65281),Fri Nov 20 10:01:51 2020 -0800
533f77b4301,GitHub,Rory Hunter,Rework Dockerfile instructions to save space (#65308),Fri Nov 20 15:35:47 2020 +0000
7a9e118d1ed,GitHub,Alan Woodward,Encapsulate nested identity loading (#65054),Fri Nov 20 15:31:38 2020 +0000
ccf4b63b5b2,GitHub,Dan Hermann,URI parts ingest processor  (#65150),Fri Nov 20 08:43:51 2020 -0600
e4ca0c13fbb,GitHub,Howard,[DOCS] Remove duplicated word in replica shard allocator comment (#65295),Fri Nov 20 09:29:59 2020 -0500
ed5498ed122,GitHub,Hendrik Muhs,[Transform] add more debug logging in testUsage IT (#65296),Fri Nov 20 15:06:39 2020 +0100
2d9b83e32c2,GitHub,bellengao,[DOCS] Fix formatting issue in search explain docs (#65303),Fri Nov 20 09:01:01 2020 -0500
73b72577b1c,GitHub,Benjamin Trent,[ML] adding some better logging on inference model storage failure (#65239),Fri Nov 20 08:41:56 2020 -0500
1e045da339b,GitHub,István Zoltán Szabó,[DOCS] Makes the screenshot larger on the custom URLs page. (#65269),Fri Nov 20 09:29:39 2020 +0100
30abc09a687,GitHub,Rory Hunter,Add retries to Docker build apk commands (#65194),Fri Nov 20 08:03:07 2020 +0000
01c83ceb5ce,GitHub,Nhat Nguyen,remote/info should fail on node without remote_client role (#65289),Thu Nov 19 17:43:30 2020 -0500
